Kunal Patni ,Mentor ,Andhra Bullets
Mandan Kumar,Pro,Andhra Bullets
Rajat Sharma,Pro ,Andhra Bullets
Sparrow Cheung,Wildcard,Andhra Bullets
Danny Tang,Wildcard,Andhra Bullets
Aditya Kumar ,Online ,Andhra Bullets
Anik Ajmera,Online ,Andhra Bullets
Jeevendra Arora ,Online ,Andhra Bullets
Chiraag Patel,Live  ,Andhra Bullets
Avadh Shah,Live,Andhra Bullets
Aditya Sushant,Mentor ,Bangaluru Warriors
Jaideep Sajwan,Pro,Bangaluru Warriors
Ratul Steves ,Pro ,Bangaluru Warriors
Ashish Munot ,Wildcard,Bangaluru Warriors
Arsh Grover ,Wildcard,Bangaluru Warriors
Varun Gupta,Online ,Bangaluru Warriors
Gokul Raj,Online ,Bangaluru Warriors
Sandeep Thakral ,Online ,Bangaluru Warriors
Bhargav Bandi ,Live  ,Bangaluru Warriors
Sagar Choudhury ,Live,Bangaluru Warriors
Kanishka Samant,Mentor ,Chennai Thalaivas 
Manoj Pentakota,Pro,Chennai Thalaivas 
Deepak Bothra ,Pro ,Chennai Thalaivas 
Kalyan C,Wildcard,Chennai Thalaivas 
Bobby Zhang ,Wildcard,Chennai Thalaivas 
Rohit Behal,Online ,Chennai Thalaivas 
Praveen Anguru ,Online ,Chennai Thalaivas 
Pushpak Bhatia,Online ,Chennai Thalaivas 
Ragesh ,Live  ,Chennai Thalaivas 
Vikas Jethnani,Live,Chennai Thalaivas 
Akash Malik,Mentor ,Delhi Panthers 
Vinod Megalmani,Pro,Delhi Panthers 
Shashank Jain,Pro ,Delhi Panthers 
Martin Jacobson,Wildcard,Delhi Panthers 
Terry Fan,Wildcard,Delhi Panthers 
Prashant Bhutoria,Online ,Delhi Panthers 
Prabhakaran S,Online ,Delhi Panthers 
Niharika Bindra,Online ,Delhi Panthers 
Akshay Nasa,Live  ,Delhi Panthers 
Vaibhav Sharma,Live,Delhi Panthers 
Dhaval Mudgal,Mentor,Goan Nuts
Abhinav Iyer,Pro,Goan Nuts
Aman Dhamija ,Pro ,Goan Nuts
Dylan Linde,Wildcard,Goan Nuts
Kevin Macphee ,Wildcard,Goan Nuts
Pranay Chawla ,Online ,Goan Nuts
Pranav Khandalkar,Online ,Goan Nuts
Kshitij Kucheria ,Online ,Goan Nuts
Siddharth Karia ,Live  ,Goan Nuts
Firoz Khan,Live,Goan Nuts
Romit Advani,Mentor ,Gujrat Falcons 
Zarvan Tumboli,Pro,Gujrat Falcons 
Jaydeep Dawer,Pro ,Gujrat Falcons 
Ioannis A. Konstas,Wildcard,Gujrat Falcons 
Eka Vedantham ,Wildcard,Gujrat Falcons 
Mayank Jain,Online ,Gujrat Falcons 
Ram Kakkar,Online ,Gujrat Falcons 
Naman Khettry,Online ,Gujrat Falcons 
Ankit Takle ,Live  ,Gujrat Falcons 
Loveleen Singh,Live,Gujrat Falcons 
Sumit Asrani ,Mentor ,Kolkata Kings
Sahil Agarwal,Pro,Kolkata Kings
Sangeeth Mohan,Pro ,Kolkata Kings
Raman Gujral,Wildcard,Kolkata Kings
Samay Parikh,Wildcard,Kolkata Kings
Vinayak Bajaj,Online ,Kolkata Kings
Jagjot Singh Pangli ,Online ,Kolkata Kings
Anish Garg ,Online ,Kolkata Kings
Rohan Singh,Live  ,Kolkata Kings
Himanshu Arora,Live,Kolkata Kings
Amit Jain ,Mentor ,Mumbai Anchors
Nishant Sharma,Pro,Mumbai Anchors
Alok Birewar,Pro ,Mumbai Anchors
Haresh Kukreja,Wildcard,Mumbai Anchors
Danish Shaikh ,Wildcard,Mumbai Anchors
Avinash Tauro,Online ,Mumbai Anchors
Biswadip Chowdhury ,Online ,Mumbai Anchors
Honey Bijlani,Online ,Mumbai Anchors
Gaurav Gupta,Live  ,Mumbai Anchors
Rajesh Rajpopat,Live,Mumbai Anchors
Raghav Bansal ,Mentor ,Pune Sharks
Sharad Rao,Pro,Pune Sharks
Kartik Ved,Pro ,Pune Sharks
Alan Lau ,Wildcard,Pune Sharks
Gerald Karlic ,Wildcard,Pune Sharks
Dhawal Lachhwani ,Online ,Pune Sharks
Amit Gupta ,Online ,Pune Sharks
Aditya Degala ,Online ,Pune Sharks
Myron Pereira,Live  ,Pune Sharks
Aryan Chaudhary,Live,Pune Sharks
Abhishek Goindi,Mentor ,Punjab Bluffers
Sumit Sapra,Pro,Punjab Bluffers
Paawan Bansal ,Pro ,Punjab Bluffers
Akira Ohyama,Wildcard,Punjab Bluffers
Jordan Westmorland ,Wildcard,Punjab Bluffers
Yuvraj Chaudhary,Online ,Punjab Bluffers
Abhishek Garg,Online ,Punjab Bluffers
Rohan Rishi,Online ,Punjab Bluffers
Gaurav Sood,Live  ,Punjab Bluffers
Ankit Wadhawan,Live,Punjab Bluffers
Shravan Chhabria,Mentor ,Rajasthan Titlers
Siddharth Singhvi,Pro,Rajasthan Titlers
Vaibhav Sharma,Pro ,Rajasthan Titlers
Sriharsha D.,Wildcard,Rajasthan Titlers
Sahil Chutani,Wildcard,Rajasthan Titlers
Sajal Gupta,Online ,Rajasthan Titlers
Banmanlang Lyndem,Online ,Rajasthan Titlers
Sai Siddharth,Online ,Rajasthan Titlers
Sanjay Taneja,Live  ,Rajasthan Titlers
Saumil Krishnani,Live,Rajasthan Titlers
