User Id,Players Name ,Category ,Team Name ,Scores,
1,Kunal Patni ,Mentor ,Andhra Bullets,0,
2,Mandan Kumar,Pro,Andhra Bullets,0,
3,Rajat Sharma,Pro ,Andhra Bullets,"159,000",
4,Sparrow Cheung,Wildcard,Andhra Bullets,0,
5,Danny Tang,Wildcard,Andhra Bullets,0,
6,Aditya Kumar ,Online ,Andhra Bullets,0,
7,Anik Ajmera,Online ,Andhra Bullets,"33,000",
8,Jeevendra Arora ,Online ,Andhra Bullets,0,
9,Chiraag Patel,Live  ,Andhra Bullets,0,
10,Avadh Shah,Live,Andhra Bullets,"47,000",
11,Aditya Sushant,Mentor ,Bangaluru Warriors,0,
12,Jaideep Sajwan,Pro,Bangaluru Warriors,0,
13,Ratul Steves ,Pro ,Bangaluru Warriors,0,
14,Ashish Munot ,Wildcard,Bangaluru Warriors,"116,000",
15,Arsh Grover ,Wildcard,Bangaluru Warriors,0,
16,Varun Gupta,Online ,Bangaluru Warriors,0,
17,Gokul Raj,Online ,Bangaluru Warriors,0,
18,Sandeep Thakral ,Online ,Bangaluru Warriors,0,
19,Bhargav Bandi ,Live  ,Bangaluru Warriors,0,
20,Sagar Choudhury ,Live,Bangaluru Warriors,0,
21,Kanishka Samant,Mentor ,Chennai Thalaivas ,"74,000",
22,Manoj Pentakota,Pro,Chennai Thalaivas ,19000,
23,Deepak Bothra ,Pro ,Chennai Thalaivas ,0,
24,Kalyan C,Wildcard,Chennai Thalaivas ,0,
25,Bobby Zhang ,Wildcard,Chennai Thalaivas ,0,
26,Rohit Behal,Online ,Chennai Thalaivas ,0,
27,Praveen Anguru ,Online ,Chennai Thalaivas ,0,
28,Pushpak Bhatia,Online ,Chennai Thalaivas ,0,
29,Ragesh ,Live  ,Chennai Thalaivas ,19000,
30,Vikas Jethnani,Live,Chennai Thalaivas ,0,
31,Akash Malik,Mentor ,Delhi Panthers ,0,
32,Vinod Megalmani,Pro,Delhi Panthers ,0,
33,Shashank Jain,Pro ,Delhi Panthers ,0,
34,Martin Jacobson,Wildcard,Delhi Panthers ,0,
35,Terry Fan,Wildcard,Delhi Panthers ,"23,500",
36,Prashant Bhutoria,Online ,Delhi Panthers ,"66,000",
37,Prabhakaran S,Online ,Delhi Panthers ,0,
38,Niharika Bindra,Online ,Delhi Panthers ,0,
39,Akshay Nasa,Live  ,Delhi Panthers ,0,
40,Vaibhav Sharma,Live,Delhi Panthers ,0,
41,Dhaval Mudgal,Mentor,Goan Nuts,"79,000",
42,Abhinav Iyer,Pro,Goan Nuts,0,
43,Aman Dhamija ,Pro ,Goan Nuts,"50,000",
44,Dylan Linde,Wildcard,Goan Nuts,0,
45,Kevin Macphee ,Wildcard,Goan Nuts,0,
46,Pranay Chawla ,Online ,Goan Nuts,0,
47,Pranav Khandalkar,Online ,Goan Nuts,"30,000",
48,Kshitij Kucheria ,Online ,Goan Nuts,0,
49,Siddharth Karia ,Live  ,Goan Nuts,0,
50,Firoz Khan,Live,Goan Nuts,0,
51,Romit Advani,Mentor ,Gujrat Falcons ,0,
52,Zarvan Tumboli,Pro,Gujrat Falcons ,0,
53,Jaydeep Dawer,Pro ,Gujrat Falcons ,0,
54,Ioannis A. Konstas,Wildcard,Gujrat Falcons ,0,
55,Eka Vedantham ,Wildcard,Gujrat Falcons ,0,
56,Mayank Jain,Online ,Gujrat Falcons ,0,
57,Ram Kakkar,Online ,Gujrat Falcons ,0,
58,Naman Khettry,Online ,Gujrat Falcons ,0,
59,Ankit Takle ,Live  ,Gujrat Falcons ,0,
60,Loveleen Singh,Live,Gujrat Falcons ,0,
61,Sumit Asrani ,Mentor ,Kolkata Kings,"34,500",
62,Sahil Agarwal,Pro,Kolkata Kings,0,
63,Sangeeth Mohan,Pro ,Kolkata Kings,0,
64,Raman Gujral,Wildcard,Kolkata Kings,30000,
65,Samay Parikh,Wildcard,Kolkata Kings,30000,
66,Vinayak Bajaj,Online ,Kolkata Kings,0,
67,Jagjot Singh Pangli ,Online ,Kolkata Kings,0,
68,Anish Garg ,Online ,Kolkata Kings,0,
69,Rohan Singh,Live  ,Kolkata Kings,"42,000",
70,Himanshu Arora,Live,Kolkata Kings,0,
71,Amit Jain ,Mentor ,Mumbai Anchors,"76,000",
72,Nishant Sharma,Pro,Mumbai Anchors,0,
73,Alok Birewar,Pro ,Mumbai Anchors,"30,000",
74,Haresh Kukreja,Wildcard,Mumbai Anchors,0,
75,Danish Shaikh ,Wildcard,Mumbai Anchors,0,
76,Avinash Tauro,Online ,Mumbai Anchors,0,
77,Biswadip Chowdhury ,Online ,Mumbai Anchors,0,
78,Honey Bijlani,Online ,Mumbai Anchors,0,
79,Gaurav Gupta,Live  ,Mumbai Anchors,0,
80,Rajesh Rajpopat,Live,Mumbai Anchors,0,
81,Raghav Bansal ,Mentor ,Pune Sharks,0,
82,Sharad Rao,Pro,Pune Sharks,0,
83,Kartik Ved,Pro ,Pune Sharks,0,
