City,Venue,Tournament Name,Date,No of Entries,Winnings
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-5,3/11/2017  14:00:00 PM,120,Top 20%
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-6,3/12/2017  14:00:00 PM,120,Top 20%
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-7,3/18/2017  14:00:00 PM,120,Top 20%
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-8,3/19/2017  14:00:00 PM,120,Top 20%
Ahemdabad,"APA, Club O7, SP Ring Road, Shela Gam",PSL Qualifier AHM-2,3/18/2017  14:00:00 PM,120,Top 20%
Ahemdabad,"APA, Club O7, SP Ring Road, Shela Gam",PSL Qualifier AHM-3,3/19/2017  14:00:00 PM,120,Top 20%
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-9,3/25/2017  14:00:00 PM,120,Top 20%
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-10,3/26/2017  14:00:00 PM,120,Top 20%
Kolkatta,"Turn n Riva Poker Club, Sarat Bose Road",PSL Qualifier KOL-3,3/25/2017  14:00:00 PM,100,Top 20%
Kolkatta,"Turn n Riva Poker Club, Sarat Bose Road",PSL Qualifier KOL-4,3/26/2017  14:00:00 PM,100,Top 20%
